Data,Sabor,Local de venda,Preço,Tamanho,Vendas
2021-01-03,Chocolate,Supermercado,3.41,Casquinha,30
2021-01-03,Chocolate,Supermercado,6.52,250g,33
2021-01-03,Chocolate,Supermercado,10.94,500g,26
2021-01-03,Chocolate,Supermercado,20.83,1kg,28
2021-01-03,Chocolate,Shopping,3.16,Casquinha,31
2021-01-03,Chocolate,Shopping,6.56,250g,21
2021-01-03,Chocolate,Shopping,11.53,500g,0
2021-01-03,Chocolate,Shopping,19.16,1kg,25
2021-01-03,Chocolate,Praia,3.58,Casquinha,46
2021-01-03,Chocolate,Praia,6.81,250g,28
2021-01-03,Chocolate,Praia,11.89,500g,22
2021-01-03,Chocolate,Praia,20.06,1kg,27
2021-01-03,Chocolate,Cidade,3.56,Casquinha,43
2021-01-03,Chocolate,Cidade,6.54,250g,24
2021-01-03,Chocolate,Cidade,10.96,500g,17
2021-01-03,Chocolate,Cidade,18.39,1kg,27
2021-01-03,Morango,Supermercado,3.63,Casquinha,24
2021-01-03,Morango,Supermercado,6.99,250g,23
2021-01-03,Morango,Supermercado,10.88,500g,17
2021-01-03,Morango,Supermercado,20.65,1kg,18
2021-01-03,Morango,Shopping,3.37,Casquinha,59
2021-01-03,Morango,Shopping,6.56,250g,34
2021-01-03,Morango,Shopping,13.13,500g,20
2021-01-03,Morango,Shopping,21.69,1kg,22
2021-01-03,Morango,Praia,3.21,Casquinha,31
2021-01-03,Morango,Praia,6.68,250g,14
2021-01-03,Morango,Praia,12.79,500g,10
2021-01-03,Morango,Praia,20.17,1kg,9
2021-01-03,Morango,Cidade,3.25,Casquinha,40
2021-01-03,Morango,Cidade,7.32,250g,33
2021-01-03,Morango,Cidade,12.65,500g,17
2021-01-03,Morango,Cidade,18.46,1kg,8
2021-01-03,Creme,Supermercado,3.75,Casquinha,12
2021-01-03,Creme,Supermercado,6.39,250g,30
2021-01-03,Creme,Supermercado,11.55,500g,27
2021-01-03,Creme,Supermercado,20.55,1kg,3
2021-01-03,Creme,Shopping,3.77,Casquinha,14
2021-01-03,Creme,Shopping,7.3,250g,17
2021-01-03,Creme,Shopping,12.63,500g,29
2021-01-03,Creme,Shopping,19.98,1kg,14
2021-01-03,Creme,Praia,3.52,Casquinha,29
2021-01-03,Creme,Praia,6.45,250g,23
2021-01-03,Creme,Praia,10.88,500g,5
2021-01-03,Creme,Praia,20.03,1kg,24
2021-01-03,Creme,Cidade,3.79,Casquinha,22
2021-01-03,Creme,Cidade,7.36,250g,5
2021-01-03,Creme,Cidade,11.35,500g,13
2021-01-03,Creme,Cidade,18.64,1kg,7
2021-01-03,Limão,Supermercado,3.8,Casquinha,26
2021-01-03,Limão,Supermercado,7.52,250g,26
2021-01-03,Limão,Supermercado,12.73,500g,25
2021-01-03,Limão,Supermercado,21.58,1kg,10
2021-01-03,Limão,Shopping,3.37,Casquinha,16
2021-01-03,Limão,Shopping,6.9,250g,9
2021-01-03,Limão,Shopping,12.76,500g,0
2021-01-03,Limão,Shopping,18.89,1kg,11
2021-01-03,Limão,Praia,3.23,Casquinha,29
2021-01-03,Limão,Praia,6.75,250g,16
2021-01-03,Limão,Praia,12.05,500g,4
2021-01-03,Limão,Praia,21.89,1kg,24
2021-01-03,Limão,Cidade,3.82,Casquinha,20
2021-01-03,Limão,Cidade,6.72,250g,0
2021-01-03,Limão,Cidade,11.48,500g,13
2021-01-03,Limão,Cidade,20.01,1kg,4
2021-01-03,Uva,Supermercado,3.19,Casquinha,18
2021-01-03,Uva,Supermercado,6.64,250g,7
2021-01-03,Uva,Supermercado,11.15,500g,11
2021-01-03,Uva,Supermercado,18.97,1kg,5
2021-01-03,Uva,Shopping,3.62,Casquinha,4
2021-01-03,Uva,Shopping,7.32,250g,16
2021-01-03,Uva,Shopping,11.68,500g,21
2021-01-03,Uva,Shopping,20.14,1kg,19
2021-01-03,Uva,Praia,3.21,Casquinha,11
2021-01-03,Uva,Praia,6.56,250g,21
2021-01-03,Uva,Praia,10.9,500g,26
2021-01-03,Uva,Praia,18.07,1kg,15
2021-01-03,Uva,Cidade,3.51,Casquinha,20
2021-01-03,Uva,Cidade,6.54,250g,0
2021-01-03,Uva,Cidade,12.46,500g,14
2021-01-03,Uva,Cidade,18.55,1kg,4
2021-01-10,Chocolate,Supermercado,3.39,Casquinha,38
2021-01-10,Chocolate,Supermercado,7.22,250g,35
2021-01-10,Chocolate,Supermercado,12.76,500g,37
2021-01-10,Chocolate,Supermercado,18.97,1kg,43
2021-01-10,Chocolate,Shopping,3.22,Casquinha,23
2021-01-10,Chocolate,Shopping,6.79,250g,38
2021-01-10,Chocolate,Shopping,12.54,500g,27
2021-01-10,Chocolate,Shopping,18.34,1kg,28
2021-01-10,Chocolate,Praia,3.26,Casquinha,52
2021-01-10,Chocolate,Praia,6.31,250g,44
2021-01-10,Chocolate,Praia,11.04,500g,30
2021-01-10,Chocolate,Praia,20.77,1kg,9
2021-01-10,Chocolate,Cidade,3.61,Casquinha,49
2021-01-10,Chocolate,Cidade,6.63,250g,20
2021-01-10,Chocolate,Cidade,11.58,500g,31
2021-01-10,Chocolate,Cidade,21.4,1kg,30
2021-01-10,Morango,Supermercado,3.61,Casquinha,26
2021-01-10,Morango,Supermercado,6.81,250g,26
2021-01-10,Morango,Supermercado,11.44,500g,28
2021-01-10,Morango,Supermercado,20.52,1kg,12
2021-01-10,Morango,Shopping,3.71,Casquinha,58
2021-01-10,Morango,Shopping,6.99,250g,23
2021-01-10,Morango,Shopping,11.27,500g,8
2021-01-10,Morango,Shopping,18.1,1kg,23
2021-01-10,Morango,Praia,3.6,Casquinha,40
2021-01-10,Morango,Praia,7.65,250g,37
2021-01-10,Morango,Praia,13.11,500g,19
2021-01-10,Morango,Praia,19.54,1kg,25
2021-01-10,Morango,Cidade,3.75,Casquinha,25
2021-01-10,Morango,Cidade,7.08,250g,19
2021-01-10,Morango,Cidade,13.05,500g,26
2021-01-10,Morango,Cidade,18.39,1kg,32
2021-01-10,Creme,Supermercado,3.58,Casquinha,38
2021-01-10,Creme,Supermercado,7.34,250g,20
2021-01-10,Creme,Supermercado,12.47,500g,6
2021-01-10,Creme,Supermercado,19.17,1kg,25
2021-01-10,Creme,Shopping,3.72,Casquinha,28
2021-01-10,Creme,Shopping,7.58,250g,20
2021-01-10,Creme,Shopping,12.03,500g,28
2021-01-10,Creme,Shopping,20.6,1kg,10
2021-01-10,Creme,Praia,3.64,Casquinha,35
2021-01-10,Creme,Praia,6.77,250g,25
2021-01-10,Creme,Praia,11.7,500g,20
2021-01-10,Creme,Praia,18.14,1kg,5
2021-01-10,Creme,Cidade,3.48,Casquinha,10
2021-01-10,Creme,Cidade,7.13,250g,23
2021-01-10,Creme,Cidade,10.87,500g,7
2021-01-10,Creme,Cidade,20.09,1kg,8
2021-01-10,Limão,Supermercado,3.69,Casquinha,26
2021-01-10,Limão,Supermercado,6.42,250g,2
2021-01-10,Limão,Supermercado,10.92,500g,35
2021-01-10,Limão,Supermercado,20.55,1kg,27
2021-01-10,Limão,Shopping,3.66,Casquinha,19
2021-01-10,Limão,Shopping,6.75,250g,17
2021-01-10,Limão,Shopping,12.71,500g,6
2021-01-10,Limão,Shopping,18.31,1kg,0
2021-01-10,Limão,Praia,3.17,Casquinha,17
2021-01-10,Limão,Praia,6.54,250g,34
2021-01-10,Limão,Praia,11.18,500g,17
2021-01-10,Limão,Praia,20.86,1kg,0
2021-01-10,Limão,Cidade,3.61,Casquinha,24
2021-01-10,Limão,Cidade,7.16,250g,31
2021-01-10,Limão,Cidade,11.81,500g,4
2021-01-10,Limão,Cidade,21.03,1kg,0
2021-01-10,Uva,Supermercado,3.16,Casquinha,11
2021-01-10,Uva,Supermercado,6.44,250g,28
2021-01-10,Uva,Supermercado,11.98,500g,0
